$GPGGA,130446.00,5151.0304726,N,00430.5375678,E,1,06,6.8,-9.8406,M,47.16,M,,*44
$GPGGA,130447.00,5151.0304773,N,00430.5375605,E,1,06,6.8,-9.9271,M,47.16,M,,*48
$GPGGA,130448.00,5151.0304913,N,00430.5375522,E,1,06,6.8,-10.0158,M,47.16,M,,*70
$GPGGA,130449.00,5151.0305073,N,00430.5375417,E,1,06,6.8,-10.0985,M,47.16,M,,*70
$GPGGA,130450.00,5151.0305214,N,00430.5375284,E,1,06,6.8,-10.1823,M,47.16,M,,*7B
$GPGGA,130451.00,5151.0305358,N,00430.5375161,E,1,06,6.8,-10.2607,M,47.16,M,,*70
$GPGGA,130452.00,5151.0305543,N,00430.5375015,E,1,06,6.8,-10.3315,M,47.16,M,,*7A
$GPGGA,130453.00,5151.0305750,N,00430.5374849,E,1,06,6.8,-10.4062,M,47.16,M,,*7F
$GPGGA,130454.00,5151.0305951,N,00430.5374678,E,1,06,6.7,-10.4778,M,47.16,M,,*78
$GPGGA,130455.00,5151.0306135,N,00430.5374521,E,1,06,6.7,-10.5495,M,47.16,M,,*7E
$GPGGA,130456.00,5151.0306323,N,00430.5374359,E,1,06,6.7,-10.6166,M,47.16,M,,*7B
$GPGGA,130457.00,5151.0306484,N,00430.5374224,E,1,06,6.7,-10.6825,M,47.16,M,,*75
$GPGGA,130458.00,5151.0306613,N,00430.5374136,E,1,06,6.7,-10.7459,M,47.16,M,,*70
$GPGGA,130459.00,5151.0306728,N,00430.5374080,E,1,06,6.7,-10.8019,M,47.16,M,,*7B
$GPGGA,130500.00,5151.0306753,N,00430.5374047,E,1,06,6.7,-10.8620,M,47.16,M,,*7D
$GPGGA,130501.00,5151.0306751,N,00430.5374033,E,1,06,6.7,-10.9011,M,47.16,M,,*78
$GPGGA,130502.00,5151.0306636,N,00430.5374058,E,1,06,6.7,-10.9502,M,47.16,M,,*71
$GPGGA,130503.00,5151.0306429,N,00430.5374107,E,1,06,6.7,-10.9825,M,47.16,M,,*7F
$GPGGA,130504.00,5151.0306141,N,00430.5374196,E,1,06,6.7,-11.0183,M,47.16,M,,*76
$GPGGA,130505.00,5151.0305768,N,00430.5374314,E,1,06,6.7,-11.0489,M,47.16,M,,*7E
$GPGGA,130506.00,5151.0305297,N,00430.5374441,E,1,06,6.7,-11.0811,M,47.16,M,,*72
$GPGGA,130507.00,5151.0304819,N,00430.5374544,E,1,06,6.7,-11.1089,M,47.16,M,,*72
$GPGGA,130508.00,5151.0304313,N,00430.5374635,E,1,06,6.7,-11.1511,M,47.16,M,,*7D
$GPGGA,130509.00,5151.0303778,N,00430.5374704,E,1,06,6.7,-11.1950,M,47.16,M,,*78
$GPGGA,130510.00,5151.0303260,N,00430.5374755,E,1,06,6.7,-11.2434,M,47.16,M,,*74
$GPGGA,130511.00,5151.0302766,N,00430.5374769,E,1,06,6.7,-11.2943,M,47.16,M,,*75
$GPGGA,130512.00,5151.0302338,N,00430.5374761,E,1,06,6.7,-11.3310,M,47.16,M,,*7C
$GPGGA,130513.00,5151.0301848,N,00430.5374746,E,1,06,6.7,-11.3849,M,47.16,M,,*70
